ApartmentName,Address,AgentName,AgentPhone,AgentEmail,Reviews,ZipCode,CrimeRate,AirQualityIndex,PopulationDensity,Store,Mall,DistanceGroceryStore,DistanceBusStop,DistanceMall,BathroomCount,BedroomCount,Size,Rent,Floor,RestaurantName,Type,Hospitals,HospType
Aelley Heights,4604 harlem,Courtney Lacount,(980) 512-3887,c.lacount@abc.com,1.3,73065,24,11,76,Store240,Mall240,3.9,9.5,1.9,2,3,4336,1676,3,Villa Vitale,Resort,SPECTRUM HEALTH KELSEY HOSPITAL,Children's hospital
Shadowland Tower,2389 champlain,Lois Tabor,(814) 824-7770,l.tabor@abc.com,4.9,71766,11,7,176,Store806,Mall806,2.1,4.6,8.6,2,2,3586,1120,4,Sandwich Works Cafe,Takeout,KALKASKA MEMORIAL HEALTH CENTER,Geriatric
Glassedge Apartment,7216 raven,Luciano Sealock,(646) 916-4061,l.sealock@abc.com,4.9,74896,21,2,154,Store506,Mall506,6.3,1.2,8.9,2,3,4035,1108,2,Iannellis,FineDining,SAINT MARY'S STANDISH COMMUNITY HOSPITAL,Psychiatric
Goldlea Residency,9464 lock,Gawen Chatburn,(580) 371-7403,g.chatburn@abc.com,3,71494,13,10,89,Store379,Mall379,7.9,8.2,3.9,1,1,2749,2089,2,Grand Royale Hotel,Hotel,KALKASKA MEMORIAL HEALTH CENTER,Trauma centre
Brightbeach Heights,8911 germania,Kathryn Cherniack,(440) 298-9114,k.cherniack@abc.com,2.5,74186,28,9,161,Store758,Mall758,8.7,8.5,2.4,2,3,2041,1531,4,Jcc Coffee Shop,Coffeehouse,HILTON HEAD REGIONAL MEDICAL CENTER,Rehabilitation
Seacliff Tower,4255 new england,Torry Forrester,(815) 400-7069,t.forrester@abc.com,3.5,76851,14,7,71,Store435,Mall435,10.8,3.8,6,1,1,3550,518,3,The Greenstone At Mels Bakery & Cafe Fse,Bakery,MUNISING MEMORIAL HOSPITAL,Children's hospital
Landston Apartment,4670 kiona,Lura Carlisle,(251) 954-3264,l.carlisle@abc.com,1.8,71547,30,12,60,Store116,Mall116,3.6,2.7,7.7,2,3,2446,1672,4,Balmoral Home,Hotel,PAUL OLIVER MEMORIAL HOSPITAL,Geriatric
Snowcliff Residency,1138 dan ryan michigan av,Ozzy Ilacqua,(219) 949-2034,o.ilacqua@abc.com,1.3,74657,15,2,123,Store251,Mall251,1.1,6.8,8.5,2,2,2322,1448,4,Canton Express Restaurant,Hotel,HARBOR BEACH COMMUNITY HOSPITAL,Psychiatric
Marblelea Heights,3565 holden,Aube Goldstein,(803) 722-4244,a.goldstein@abc.com,5,71854,7,5,108,Store101,Mall101,4.6,7.5,10.7,2,2,4478,1943,3,Beggars Pizza,Pizzeria,ASPIRUS KEWEENAW HOSPITAL,Trauma centre
Oldham Tower,9803 harlem,Adelaide Markey,(718) 703-6729,a.markey@abc.com,5,71765,29,11,169,Store166,Mall166,4.5,8.8,3.4,1,1,2552,1561,4,Pandali Restaurant,Cafe,"ASPIRUS ONTONAGON HOSPITAL, INC",Rehabilitation
Mallowmage Apartment,5741 russell,Gnni Truman,(910) 383-9017,g.truman@abc.com,1.3,74570,22,10,109,Store206,Mall206,7.7,10.8,1.7,2,2,2000,459,2,Ponys Pub,Pub,HARBOR BEACH COMMUNITY HOSPITAL,Children's hospital
Snowlight Residency,4184 davol,Prince Ganong,(469) 391-9833,p.ganong@abc.com,5,77129,15,1,84,Store986,Mall986,4.2,3.3,4.8,1,1,2099,1292,4,Joshuas Cafe,Cafe,BARAGA COUNTY MEMORIAL HOSPITAL,Geriatric
Vertfield Heights,2315 berenice,Agnes Harvey,(609) 165-9959,a.harvey@abc.com,2.4,76572,10,9,151,Store877,Mall877,5.5,1,4.3,2,3,3293,2092,2,Mangiamo Pizza,Pizzeria,SCHEURER HOSPITAL,Psychiatric
Greenwyvern Tower,3860 dan ryan roosevelt st,Toinette Mertens,(539) 414-2034,t.mertens@abc.com,5,73506,12,1,154,Store852,Mall852,8.2,4.6,7.3,2,2,3608,1303,3,Candlelight Tavern,Cafe,BARAGA COUNTY MEMORIAL HOSPITAL,Trauma centre
Vertmoor Apartment,9447 virginia,Perrine Kohler,(563) 581-8734,p.kohler@abc.com,3.6,73055,17,3,115,Store918,Mall918,4.9,4.3,4.3,2,2,3190,770,3,A & R Bakery,Bakery,MACKINAC STRAITS HOSPITAL AND HEALTH CENTER,Rehabilitation
Elfhaven Residency,1303 lakefront,Aurea Pendleton,(617) 241-3971,a.pendleton@abc.com,1.2,76689,17,4,173,Store883,Mall883,8.3,7.5,5.2,2,2,1609,1385,4,Hotel Roosevelt,FineDining,HARBOR BEACH COMMUNITY HOSPITAL,Children's hospital
Belwick Heights,7724 dan ryan 76th st,Simonette Valencia,(929) 193-3790,s.valencia@abc.com,3.4,75622,26,10,84,Store244,Mall244,8.7,4.8,8.1,2,2,3930,1970,2,Grammies Place,Takeout,"ASPIRUS IRON RIVER HOSPITAL & CLINICS, INC",Geriatric
Moorhollow Tower,9170 north shore channel,Sammy Feany,(916) 462-7384,s.feany@abc.com,4.2,71585,11,3,72,Store62,Mall62,3.7,5.4,4.7,2,3,2658,755,2,Kikkos Koffee House,Coffehouse,HILLS & DALES GENERAL HOSPITAL,Psychiatric
Bluemallow Apartment,3843 121st,Paulina Dussault,(513) 176-0509,p.dussault@abc.com,3,78091,10,12,141,Store530,Mall530,9.1,8.2,8.6,2,2,1640,1870,4,Staybridge Suites Dia,Hotel,MCKENZIE HEALTH SYSTEM,Trauma centre
Vertbourne Residency,3042 edens,Cordelie Laskin,(458) 222-5847,c.laskin@abc.com,5,77476,7,8,146,Store9,Mall9,8.4,4.6,8.5,2,3,3727,1501,3,Groovy Granola,Hotel,SPECTRUM HEALTH KELSEY HOSPITAL,Rehabilitation
Lighthollow Heights,1502 irving,Onofredo Roveri,(980) 234-3782,o.roveri@abc.com,3.2,71121,29,9,103,Store190,Mall190,4.1,8.7,3.6,2,2,4160,1828,2,Watkins Glen State Park Lower Gorge Snack,Cafe,HILLS & DALES GENERAL HOSPITAL,Children's hospital
Coastmead Tower,2656 101st,Delmore Menashi,(774) 895-5099,d.menashi@abc.com,2.2,72041,29,11,113,Store863,Mall863,8.3,8.6,10,2,3,4392,1239,4,Cool Beans Playhouse ,Cafe,MCKENZIE HEALTH SYSTEM,Geriatric
Lorvale Apartment,3008 dan ryan ob stevenson ob,Kally Shroyer,(251) 749-3451,k.shroyer@abc.com,4.2,74410,29,3,60,Store477,Mall477,6.3,3.3,8.7,1,1,1618,1724,2,Tulip Caterer,FineDining,BARAGA COUNTY MEMORIAL HOSPITAL,Psychiatric
Goldton Residency,5111 41st,Emelda Keepper,(312) 329-5998,e.keepper@abc.com,1,72616,20,4,135,Store457,Mall457,9.7,9.3,4.4,2,3,3315,1719,4,Dear Sub,Takeout,SCHEURER HOSPITAL,Trauma centre
Wheatbarrow Heights,5807 eisenhower laramie av,Cleveland Byrne,(972) 530-7103,c.byrne@abc.com,5,74463,14,4,78,Store456,Mall456,8.8,8.5,8.4,2,3,1909,1082,2,Fuffi 2000,FineDining,MCLEOD REGIONAL MEDICAL CENTER-PEE DEE,Rehabilitation
Goldfair Tower,3946 55th,Agnes Harvey,(609) 165-9959,a.harvey@abc.com,5,73887,25,6,127,Store195,Mall195,2.8,4.3,6.1,2,2,2061,492,3,Smother Brothers,FineDining,BARAGA COUNTY MEMORIAL HOSPITAL,Children's hospital
Freyport Apartment,151 eisenhower california av,Audrie Lem,(681) 101-9406,a.lem@abc.com,5,72628,21,11,131,Store98,Mall98,8.2,8.8,9,2,2,2461,1987,3,Franklin Square Senior Center,FineDining,"ASPIRUS IRON RIVER HOSPITAL & CLINICS, INC",Geriatric
Icefalcon Residency,8577 potawatomie,Zollie Orent,(786) 764-1691,z.orent@abc.com,1.1,73758,7,2,143,Store452,Mall452,3.3,6.8,8.9,1,1,3089,2135,2,Christian Faith Fellowship,Coffehouse,HILLS & DALES GENERAL HOSPITAL,Psychiatric
Belmont Heights,9896 rosedale,Amabelle Seed,(938) 624-4666,a.seed@abc.com,5,73339,16,1,183,Store789,Mall789,3.9,9.1,2.3,2,3,3287,718,2,Basil Docs Crestmoor,Coffehouse,SPECTRUM HEALTH KELSEY HOSPITAL,Trauma centre
Coastland Tower,3362 wood,Richardo Vaut,(831) 195-2855,r.vaut@abc.com,1.6,71994,19,1,147,Store804,Mall804,1.3,8.6,8.2,2,3,2233,1645,3,Gianas Deli & Catering,FineDining,PAUL OLIVER MEMORIAL HOSPITAL,Rehabilitation
Beachbush Apartment,119 yale,Ibbie Zuidema,(747) 505-0029,i.zuidema@abc.com,1.8,74142,29,9,163,Store564,Mall564,3.9,2.1,3.2,2,2,1933,2141,2,Glaze,FineDining,MCKENZIE HEALTH SYSTEM,Children's hospital
Orland Residency,6172 marine,Lura Carlisle,(251) 954-3264,l.carlisle@abc.com,1.7,75604,7,8,184,Store774,Mall774,4,8.5,3.1,1,1,3706,1659,2,Darcys Dogs & Shrimp Shack,Tavern,BARAGA COUNTY MEMORIAL HOSPITAL,Geriatric
Violetriver Heights,6848 hampden,Ulises Pukelsheim,(774) 729-4098,u.pukelsheim@abc.com,3.8,73956,5,11,167,Store570,Mall570,4.1,3.8,1.3,2,2,4383,1542,4,Chuys,FineDining,HELEN NEWBERRY JOY HOSPITAL,Psychiatric
Prycrest Tower,3636 huntington,Shayne Frost,(724) 964-2875,s.frost@abc.com,3.1,76325,15,3,158,Store678,Mall678,7.4,3.2,3.2,2,2,2560,1223,3,Blue Bayou,Bar,SCHEURER HOSPITAL,Trauma centre
Mistbush Apartment,6116 n branch chicago river,Hobey Menchiari,(478) 246-9077,h.menchiari@abc.com,3.5,76210,17,12,126,Store33,Mall33,10.8,1.8,3.6,2,2,4292,1443,2,Recovery Sports Grill Amsterdam,Bar,HELEN NEWBERRY JOY HOSPITAL,Rehabilitation
Blackbarrow Residency,8021 neva,Murry Ceriale,(251) 345-2581,m.ceriale@abc.com,1.4,74511,12,12,189,Store567,Mall567,4.9,3.4,4.2,2,2,2848,1354,2,Coffee Beaner,Bar,BRISTOL HOSPITAL,Children's hospital
Bluelyn Heights,275 lsd wacker dr,Lyle Biolos,(878) 651-0399,l.biolos@abc.com,2.3,71729,18,6,95,Store340,Mall340,7.4,3.3,7.9,1,1,4153,1890,4,Restaurant Depot,Hotel,"ASPIRUS IRON RIVER HOSPITAL & CLINICS, INC",Geriatric
Swynbank Tower,40 45th,Virge Prestwich,(253) 126-2639,v.prestwich@abc.com,2,73319,7,10,78,Store508,Mall508,3.4,4.6,10.3,2,2,2297,1480,4,Udderly Delicious,Hotel,MUNISING MEMORIAL HOSPITAL,Psychiatric
Merrifort Apartment,8033 130th,Felizio Bulwer,(989) 362-2526,f.bulwer@abc.com,2.2,76282,16,8,102,Store794,Mall794,10.3,7.8,4.2,1,1,2160,2078,3,Childrens House,Icecream,HELEN NEWBERRY JOY HOSPITAL,Trauma centre
Prywyn Residency,5573 baldwin,Debee Kraemer,(423) 823-7304,d.kraemer@abc.com,3.9,77795,13,7,165,Store376,Mall376,7,10.5,7.1,2,2,3863,1391,4,Ralphs Famous Italian Ices,Icecream,DECKERVILLE COMMUNITY HOSPITAL,Rehabilitation
Wyverncliff Heights,398 everett,Minda Bando,(731) 353-4318,m.bando@abc.com,5,76561,20,7,79,Store406,Mall406,3.1,4.5,3.1,1,1,2126,1920,3,Ralphs Ices,Icecream,HELEN NEWBERRY JOY HOSPITAL,Children's hospital
Redgate Tower,9440 loyola,Etienne Wheatley,(863) 951-6639,e.wheatley@abc.com,1.5,74123,10,6,150,Store386,Mall386,7.7,7.2,10.8,1,1,2146,1527,4,Allegany Mountain Resort,Resort,SCHEURER HOSPITAL,Geriatric
Goldwell Apartment,9579 dauphin,Carlin Haerdle,(479) 614-3176,c.haerdle@abc.com,3.6,78100,23,2,149,Store613,Mall613,5.8,3.3,6.3,1,1,3222,1293,4,Prince Umberto Ii,FineDining,MCKENZIE HEALTH SYSTEM,Psychiatric
Eastgate Residency,5205 hopkins,Kalindi Orsher,(505) 393-8096,k.orsher@abc.com,1.6,76207,18,11,129,Store23,Mall23,8.4,11,3.3,2,2,4391,1584,3,Hayloft Pub,Pub,DECKERVILLE COMMUNITY HOSPITAL,Trauma centre
Whitelyn Heights,339 green,Lorinda Degreeff,(717) 393-5699,l.degreeff@abc.com,4.8,76791,30,4,67,Store520,Mall520,5.7,6.8,7.3,2,3,2608,1390,4,Homer Fire Dept Community Bldg,Cafeteria,SHERIDAN COMMUNITY HOSPITAL,Rehabilitation
Greenhurst Tower,1306 academy,Lizzie Laver,(801) 504-7147,l.laver@abc.com,2,76391,30,6,83,Store133,Mall133,2,3.6,5.5,2,3,4469,498,4,Villa Vitale,Resort,PAUL OLIVER MEMORIAL HOSPITAL,Children's hospital
Greylyn Apartment,9623 rainey,Kennith Makrides,(715) 955-2214,k.makrides@abc.com,5,73122,10,9,141,Store912,Mall912,5.9,7.6,8.4,1,1,2445,848,2,Sandwich Works Cafe,Takeout,MACKINAC STRAITS HOSPITAL AND HEALTH CENTER,Geriatric
Merrowholt Residency,5141 63rd,Tedd Tang,(707) 294-3940,t.tang@abc.com,5,77083,30,11,117,Store888,Mall888,9.1,5.4,5.9,2,2,1514,1273,2,Iannellis,FineDining,DECKERVILLE COMMUNITY HOSPITAL,Psychiatric
Lightlea Heights,3512 dan ryan ib canalport av,Joel Aricanli,(513) 652-6765,j.aricanli@abc.com,4.1,75457,15,8,115,Store248,Mall248,10.9,8.6,2.9,2,2,2372,2100,4,Grand Royale Hotel,Hotel,HELEN NEWBERRY JOY HOSPITAL,Trauma centre
Bybridge Tower,2146 granville,Dana Sterne,(517) 562-0556,d.sterne@abc.com,3.9,77885,29,5,110,Store367,Mall367,1.9,5.6,5.8,1,1,2570,410,3,Jcc Coffee Shop,Coffeehouse,SPECTRUM HEALTH KELSEY HOSPITAL,Rehabilitation
Deerland Apartment,531 illinois,Lyle Biolos,(878) 651-0399,l.biolos@abc.com,1.5,76582,12,7,86,Store697,Mall697,10.9,2.1,9.8,2,2,4266,494,4,The Greenstone At Mels Bakery & Cafe Fse,Bakery,HELEN NEWBERRY JOY HOSPITAL,Children's hospital
Bushcliff Residency,3888 osceola,Delmore Takacs,(539) 528-0701,d.takacs@abc.com,4.4,77301,20,7,175,Store156,Mall156,1.2,5.5,10.9,2,3,2655,1351,4,Balmoral Home,Hotel,SHERIDAN COMMUNITY HOSPITAL,Geriatric
Corcrest Heights,6463 42nd,Renaldo Bernheimer,(513) 129-7173,r.bernheimer@abc.com,5,71398,10,4,85,Store293,Mall293,2.6,9.8,1.6,2,3,2760,1086,2,Canton Express Restaurant,Hotel,HELEN NEWBERRY JOY HOSPITAL,Psychiatric
Stonebrook Tower,8094 liberty,Heindrick Tollestrup,(912) 450-7197,h.tollestrup@abc.com,1.3,72064,30,5,99,Store953,Mall953,10.7,10.8,10.2,1,1,2623,965,3,Beggars Pizza,Pizzeria,HELEN NEWBERRY JOY HOSPITAL,Trauma centre
Vallake Apartment,8801 north water lower,Elayne Mcpeek,(406) 780-4894,e.mcpeek@abc.com,4.1,73370,29,10,64,Store385,Mall385,5.6,1.1,1.3,2,2,2062,2067,4,Pandali Restaurant,Cafe,KALKASKA MEMORIAL HEALTH CENTER,Rehabilitation
Hollowholt Residency,5022 opal,Amelita Sepulveda,(787) 451-4116,a.sepulveda@abc.com,2.2,71166,16,5,101,Store274,Mall274,9.4,10.9,2.4,2,3,2962,737,2,Ponys Pub,Pub,BARAGA COUNTY MEMORIAL HOSPITAL,Children's hospital
Freyhollow Heights,167 stevenson franklin st,Clovis Levoff,(989) 443-5293,c.levoff@abc.com,5,76248,16,5,100,Store57,Mall57,8,1,10.7,2,3,2648,2043,3,Joshuas Cafe,Cafe,HARBOR BEACH COMMUNITY HOSPITAL,Geriatric
Janland Tower,1038 haul,Kendell Corvey,(816) 250-1619,k.corvey@abc.com,4.5,75930,8,5,145,Store534,Mall534,8.3,2.4,5.9,2,2,4083,681,3,Mangiamo Pizza,Pizzeria,SPECTRUM HEALTH KELSEY HOSPITAL,Psychiatric
Westbridge Apartment,1242 vernon park,Scarlett Kaufman,(303) 851-3533,s.kaufman@abc.com,2,71494,13,10,89,Store327,Mall327,9.9,10.6,9.9,2,3,2171,1649,3,Candlelight Tavern,Cafe,MUNISING MEMORIAL HOSPITAL,Trauma centre
Butteriron Residency,4719 montana,Cecilio Vallee,(757) 609-4196,c.vallee@abc.com,1.1,73098,15,12,185,Store145,Mall145,4.2,5.8,8.3,1,1,4001,1055,3,A & R Bakery,Bakery,MACKINAC STRAITS HOSPITAL AND HEALTH CENTER,Rehabilitation
Mallowlea Heights,8733 stevenson ib dan ryan,Jo-ann Giamusso,(939) 268-3316,j.giamusso@abc.com,2.5,71460,29,8,158,Store395,Mall395,1.1,9.1,8.1,2,2,4080,1544,4,Hotel Roosevelt,FineDining,SAINT MARY'S STANDISH COMMUNITY HOSPITAL,Children's hospital
Clearmill Tower,7789 college,Domingo Mcgrail,(339) 435-6349,d.mcgrail@abc.com,2.8,73428,5,4,110,Store57,Mall57,5.8,8.3,9.2,1,1,2946,448,2,Grammies Place,Takeout,HILLS & DALES GENERAL HOSPITAL,Geriatric
Brighthedge Apartment,7717 luis munoz marin,Gene Elbourne,(763) 504-2160,g.elbourne@abc.com,4,74643,26,2,118,Store445,Mall445,4.4,8.4,4.2,2,3,4493,1495,2,Kikkos Koffee House,Coffehouse,SHERIDAN COMMUNITY HOSPITAL,Psychiatric
Glassfay Residency,8326 beach,Miranda Langosy,(631) 355-7453,m.langosy@abc.com,1.1,72340,27,6,142,Store393,Mall393,10.4,9.6,2,2,2,2819,927,2,Staybridge Suites Dia,Hotel,MACKINAC STRAITS HOSPITAL AND HEALTH CENTER,Trauma centre
Northdell Heights,1641 jeffery,Griffie Clair,(216) 575-4456,g.clair@abc.com,1.8,77724,23,8,184,Store110,Mall110,8.5,4.3,5.4,2,3,2913,1944,4,Groovy Granola,Hotel,HELEN NEWBERRY JOY HOSPITAL,Rehabilitation
Fairspell Tower,8291 washburne,Reynold Christian-herot,(205) 491-5645,r.christian-herot@abc.com,5,73758,7,2,143,Store724,Mall724,5.7,1.2,5,2,3,3006,982,2,Watkins Glen State Park Lower Gorge Snack,Cafe,HILLS & DALES GENERAL HOSPITAL,Children's hospital
Greenwynne Apartment,3779 stevenson expy,Nerty Ash-bernal,(331) 653-4357,n.ash-bernal@abc.com,3.7,72644,23,2,114,Store375,Mall375,5.9,5.1,10.5,2,3,3630,1393,3,Cool Beans Playhouse ,Cafe,"ASPIRUS IRON RIVER HOSPITAL & CLINICS, INC",Geriatric
Greenwyn Residency,7699 merrill,Beltran Castillo,(715) 648-3530,b.castillo@abc.com,5,77186,14,1,97,Store142,Mall142,3,4.6,8.7,1,1,4111,1037,2,Tulip Caterer,FineDining,SPECTRUM HEALTH KELSEY HOSPITAL,Psychiatric
Alddell Heights,8789 kimbark,Nadean Reynales,(856) 555-0686,n.reynales@abc.com,2.9,73381,15,11,187,Store835,Mall835,1.2,10.5,5.2,2,3,2056,696,4,Dear Sub,Takeout,KALKASKA MEMORIAL HEALTH CENTER,Trauma centre
Northwinter Tower,6206 virginia,Zebulon Faliva,(360) 938-2183,z.faliva@abc.com,2.3,77356,30,1,123,Store192,Mall192,2.6,8.1,5.8,2,3,2545,1897,3,Fuffi 2000,FineDining,HILLS & DALES GENERAL HOSPITAL,Rehabilitation
Westbush Apartment,2925 dan ryan ib stevenson,Hallie Brook,(318) 196-6716,h.brook@abc.com,2.6,74878,30,11,78,Store881,Mall881,10,5.6,3.3,1,1,1811,835,4,Smother Brothers,FineDining,MCKENZIE HEALTH SYSTEM,Children's hospital
Violetmarsh Residency,6635 lsd wacker dr nb,Maria Flynn,(517) 423-3831,m.flynn@abc.com,2.1,75303,14,12,154,Store347,Mall347,4.7,5.7,1.7,1,1,2486,1906,4,Franklin Square Senior Center,FineDining,HARBOR BEACH COMMUNITY HOSPITAL,Geriatric
Lakeedge Heights,4076 harvard,Grazia Trinder,(607) 568-5986,g.trinder@abc.com,2.2,74866,19,10,93,Store276,Mall276,9.3,3.2,2.2,2,3,4396,605,3,Christian Faith Fellowship,Coffehouse,HELEN NEWBERRY JOY HOSPITAL,Psychiatric
Silverhedge Tower,467 garfield square,Brennan Tolan,(513) 252-2185,b.tolan@abc.com,5,73777,30,3,118,Store99,Mall99,1.7,1.7,10.5,2,2,3438,429,3,Basil Docs Crestmoor,Coffehouse,BARAGA COUNTY MEMORIAL HOSPITAL,Trauma centre
Ironmill Apartment,1229 albany,Marla Gilles,(817) 628-4953,m.gilles@abc.com,2.8,72295,19,4,172,Store662,Mall662,4.4,2.8,4.6,2,2,3365,1363,3,Gianas Deli & Catering,FineDining,MCKENZIE HEALTH SYSTEM,Rehabilitation
Belcrest Residency,7064 finsbury,Lorrie Zaccagnino,(938) 214-9245,l.zaccagnino@abc.com,4.9,73683,27,9,119,Store677,Mall677,10.7,10.4,9.6,2,2,4384,2018,4,Glaze,FineDining,MIDMICHIGAN MEDICAL CENTER-GLADWIN,Children's hospital
Strongbourne Heights,5204 pryor,Petronilla Askey,(314) 707-4780,p.askey@abc.com,3.9,77820,26,1,104,Store889,Mall889,3.5,4.3,1.4,1,1,3720,842,3,Darcys Dogs & Shrimp Shack,Tavern,SAINT MARY'S STANDISH COMMUNITY HOSPITAL,Geriatric
Dragoncrest Tower,1612 junior,Al Royer,(606) 589-8589,a.royer@abc.com,1.9,75053,9,12,93,Store734,Mall734,4.7,9.3,4.3,2,2,4349,808,4,Chuys,FineDining,"ASPIRUS ONTONAGON HOSPITAL, INC",Psychiatric
Esteracre Apartment,8142 wacker dr lower,Dame Imeson,(707) 574-5520,d.imeson@abc.com,3.1,71429,7,4,175,Store607,Mall607,2.5,1,10.6,2,2,3465,1205,4,Blue Bayou,Bar,"ASPIRUS ONTONAGON HOSPITAL, INC",Trauma centre
Marshwall Residency,8065 ridgewood,Barnabas Corbett,(217) 634-1025,b.corbett@abc.com,1.6,77781,30,8,73,Store424,Mall424,4.4,4.3,3.7,2,2,2842,1044,4,Recovery Sports Grill Amsterdam,Bar,PAUL OLIVER MEMORIAL HOSPITAL,Rehabilitation
Wildelight Heights,3706 kenosha,Don Pratt,(661) 284-8178,d.pratt@abc.com,1.8,77419,5,12,177,Store376,Mall376,8.4,10.7,4.6,1,1,3570,1128,3,Coffee Beaner,Bar,"ASPIRUS IRON RIVER HOSPITAL & CLINICS, INC",Children's hospital
Aldrose Tower,4135 escanaba,Susi Moglia,(765) 524-4354,s.moglia@abc.com,5,72282,11,8,186,Store291,Mall291,3.7,3.6,2.5,2,2,4157,1763,4,Restaurant Depot,Hotel,SHERIDAN COMMUNITY HOSPITAL,Geriatric
Blackwick Apartment,5275 wabash lower,Nicky Munao',(779) 604-8306,n.munao'@abc.com,5,71527,25,2,97,Store739,Mall739,1.5,4,4.1,2,3,2765,1957,4,Udderly Delicious,Hotel,"ASPIRUS ONTONAGON HOSPITAL, INC",Psychiatric
Marblesea Residency,6939 moorman,Clementina Mauger,(781) 330-5990,c.mauger@abc.com,2.4,74243,19,5,65,Store373,Mall373,1.8,2.1,8.5,1,1,4007,1166,4,Childrens House,Icecream,MUNISING MEMORIAL HOSPITAL,Trauma centre
Silvermill Heights,2389 desplaines,Jonah Rayfuse,(209) 809-1072,j.rayfuse@abc.com,4.2,76944,5,12,169,Store553,Mall553,8.9,4,3.1,2,3,2125,472,4,Ralphs Famous Italian Ices,Icecream,SCHEURER HOSPITAL,Rehabilitation
Goldpond Tower,3265 magnolia,Gordy Votey,(919) 257-3641,g.votey@abc.com,2.9,73748,22,2,140,Store476,Mall476,7.7,8.8,1.8,2,3,3884,520,2,Ralphs Ices,Icecream,MUNISING MEMORIAL HOSPITAL,Children's hospital
Marbleland Apartment,7893 loomis,Baird Kurkjian,(754) 959-0606,b.kurkjian@abc.com,2.1,71735,23,2,57,Store346,Mall346,7.3,3.7,1.4,1,1,1514,619,4,Allegany Mountain Resort,Resort,SAINT MARY'S STANDISH COMMUNITY HOSPITAL,Geriatric
Dorburn Residency,8667 99th,Emmett Gorelli,(828) 246-4757,e.gorelli@abc.com,2.9,77887,10,5,150,Store976,Mall976,2.6,1.4,8.3,2,3,4289,519,2,Prince Umberto Ii,FineDining,SCHEURER HOSPITAL,Psychiatric
Wildedell Heights,2639 wisner,Nye Ratiglia,(210) 604-4406,n.ratiglia@abc.com,2,75735,29,7,125,Store822,Mall822,7.8,1.6,7.5,2,3,3980,658,2,Hayloft Pub,Pub,BORGESS-LEE MEMORIAL HOSPITAL,Trauma centre
Marshhedge Tower,5510 111th,Tobin Mazus,(406) 377-2462,t.mazus@abc.com,1,76877,17,12,78,Store976,Mall976,4,8.3,7.5,2,3,3194,1270,3,Homer Fire Dept Community Bldg,Cafeteria,"ASPIRUS ONTONAGON HOSPITAL, INC",Rehabilitation
Lightbourne Apartment,2849 iowa,Constancy Duggan,(469) 142-2847,c.duggan@abc.com,5,73804,6,5,73,Store935,Mall935,1.4,7.5,2.8,1,1,1971,1622,4,Villa Vitale,Resort,HARBOR BEACH COMMUNITY HOSPITAL,Children's hospital
Deepwynne Residency,8848 fairview,Marla Gilles,(817) 628-4953,m.gilles@abc.com,4.4,75822,18,11,106,Store7,Mall7,9.6,7.1,7.7,1,1,4447,991,4,Sandwich Works Cafe,Takeout,ASPIRUS KEWEENAW HOSPITAL,Geriatric
Norcrest Heights,5940 state line,Gratiana Briggs-hale,(919) 347-8183,g.briggs-hale@abc.com,5,76555,9,8,56,Store938,Mall938,10.4,2.7,3,2,3,2294,1876,2,Iannellis,FineDining,SAINT MARY'S STANDISH COMMUNITY HOSPITAL,Psychiatric
Bushmoor Tower,6060 elbridge,Keefe Lundell,(928) 941-1105,k.lundell@abc.com,1.2,72644,23,2,114,Store169,Mall169,5,7.6,1.7,2,3,4421,937,2,Grand Royale Hotel,Hotel,DECKERVILLE COMMUNITY HOSPITAL,Trauma centre
Falconhurst Apartment,3453 delphia,Agnola O'marley,(727) 184-7732,a.o'marley@abc.com,1.9,74687,19,9,133,Store790,Mall790,5.9,3.5,9.8,2,2,3345,430,3,Jcc Coffee Shop,Coffeehouse,MERCY HEALTH LAKESHORE CAMPUS,Rehabilitation
Greencoast Residency,4160 rosedale,Jacquelynn Farrow,(262) 402-3928,j.farrow@abc.com,3.6,77134,17,10,186,Store986,Mall986,1.7,1.5,10.7,1,1,2557,1757,3,The Greenstone At Mels Bakery & Cafe Fse,Bakery,BORGESS-LEE MEMORIAL HOSPITAL,Children's hospital
Bushston Heights,4892 n branch chicago river,Lindie Peretz,(765) 643-8981,l.peretz@abc.com,1.3,75458,8,2,152,Store395,Mall395,2.8,9.7,4.2,2,2,1751,763,4,Balmoral Home,Hotel,MERCY HEALTH LAKESHORE CAMPUS,Geriatric
Westbeech Tower,4794 lawrence,Onofredo Andolina,(308) 207-5846,o.andolina@abc.com,3.3,77163,26,4,150,Store775,Mall775,3.1,10.3,5.9,2,2,1601,985,2,Canton Express Restaurant,Hotel,SAINT MARY'S STANDISH COMMUNITY HOSPITAL,Psychiatric
Oldmarsh Apartment,9021 lithuanian plaza,Marji Nureddin,(419) 883-0483,m.nureddin@abc.com,2.8,75834,13,5,61,Store770,Mall770,5.4,4.9,1.2,1,1,3108,1471,4,Beggars Pizza,Pizzeria,SHERIDAN COMMUNITY HOSPITAL,Trauma centre
Strongwynne Residency,6006 ridge,Aidan Pulido,(848) 345-2113,a.pulido@abc.com,5,75044,17,9,79,Store500,Mall500,8.4,5.6,2.9,2,3,1613,1887,4,Pandali Restaurant,Cafe,"ASPIRUS IRON RIVER HOSPITAL & CLINICS, INC",Rehabilitation
